date,temperature
2025-11-06T20:11:37+02:00,6.04
2025-11-06T20:11:47+02:00,7.17
2025-11-06T20:11:58+02:00,7.68
2025-11-06T20:12:08+02:00,6.06
2025-11-06T20:12:18+02:00,4.58
2025-11-06T20:12:27+02:00,7.18
2025-11-06T20:12:38+02:00,3.16
2025-11-06T20:12:48+02:00,3.72
2025-11-06T20:12:58+02:00,5.5
2025-11-06T20:13:08+02:00,4.4
2025-11-06T20:13:18+02:00,7.63
2025-11-06T20:13:28+02:00,3.9
2025-11-06T20:13:38+02:00,4.3
2025-11-06T20:13:48+02:00,3.05
2025-11-06T20:13:58+02:00,5.47
2025-11-06T20:14:08+02:00,7.38
2025-11-06T20:14:18+02:00,5.2
2025-11-06T20:14:28+02:00,5.54
2025-11-06T20:14:38+02:00,7.49
2025-11-06T20:14:48+02:00,7.54
2025-11-06T20:14:58+02:00,7.49
2025-11-06T20:15:08+02:00,7.54
2025-11-06T20:15:18+02:00,6.18
2025-11-06T20:15:28+02:00,5.27
2025-11-06T20:15:38+02:00,6.69
2025-11-06T20:15:48+02:00,6.58
2025-11-06T20:15:58+02:00,6.41
2025-11-06T20:16:08+02:00,6.54
2025-11-06T20:16:18+02:00,3.85
2025-11-06T20:16:28+02:00,3.09
2025-11-06T20:16:38+02:00,6.31
2025-11-06T20:16:48+02:00,6.64
2025-11-06T20:16:58+02:00,3.48
2025-11-06T20:17:08+02:00,5.29
2025-11-06T20:17:18+02:00,3.21
2025-11-06T20:17:28+02:00,3.79
2025-11-06T20:17:38+02:00,4.19
2025-11-06T20:17:48+02:00,5.93
2025-11-06T20:17:58+02:00,3.2
2025-11-06T20:18:08+02:00,3.85
2025-11-06T20:18:18+02:00,6.06
2025-11-06T20:18:28+02:00,7.92
2025-11-06T20:18:38+02:00,5.02
2025-11-06T20:18:48+02:00,6.18
2025-11-06T20:18:58+02:00,7.88
2025-11-06T20:19:08+02:00,4.93
2025-11-06T20:19:18+02:00,6.6
2025-11-06T20:19:28+02:00,3.19
2025-11-06T20:19:38+02:00,5.77
2025-11-06T20:19:48+02:00,6.71
2025-11-06T20:19:58+02:00,7.51
2025-11-06T20:20:08+02:00,6.98
2025-11-06T20:20:18+02:00,4.27
2025-11-06T20:20:28+02:00,4.45
2025-11-06T20:20:38+02:00,3.86
2025-11-06T20:20:48+02:00,3.41
2025-11-06T20:20:58+02:00,4.64
2025-11-06T20:21:08+02:00,3.48
2025-11-06T20:21:18+02:00,6.77
2025-11-06T20:21:28+02:00,5.0
2025-11-06T20:21:38+02:00,3.72
2025-11-06T20:21:48+02:00,5.42
2025-11-06T20:21:58+02:00,7.96
2025-11-06T20:22:08+02:00,5.29
2025-11-06T20:22:18+02:00,6.97
2025-11-06T20:22:28+02:00,7.76
2025-11-06T20:22:38+02:00,4.59
2025-11-06T20:22:48+02:00,7.44
2025-11-06T20:22:58+02:00,6.03
2025-11-06T20:23:08+02:00,5.69
2025-11-06T20:23:18+02:00,4.09
2025-11-06T20:23:28+02:00,4.85
2025-11-06T20:23:38+02:00,7.17
2025-11-06T20:23:48+02:00,7.25
2025-11-06T20:23:58+02:00,5.22
2025-11-06T20:24:08+02:00,6.15
2025-11-06T20:24:18+02:00,4.38
2025-11-06T20:24:28+02:00,4.65
2025-11-06T20:24:38+02:00,5.13
2025-11-06T20:24:48+02:00,5.4
2025-11-06T20:24:58+02:00,7.18
2025-11-06T20:25:08+02:00,5.38
2025-11-06T20:25:18+02:00,7.26
2025-11-06T22:08:34+02:00,7.87
2025-11-06T22:08:44+02:00,7.58
2025-11-06T22:08:54+02:00,6.24
2025-11-06T22:09:04+02:00,3.45
2025-11-06T22:09:14+02:00,4.52
2025-11-06T22:09:24+02:00,3.2
2025-11-06T22:09:34+02:00,4.51
2025-11-06T22:09:45+02:00,6.98
2025-11-06T22:09:54+02:00,4.25
2025-11-06T22:10:04+02:00,5.45
2025-11-06T22:10:14+02:00,4.32
2025-11-06T22:10:24+02:00,6.16
2025-11-06T22:10:34+02:00,6.17
2025-11-06T22:10:45+02:00,7.57
2025-11-06T22:10:54+02:00,3.83
2025-11-06T22:11:04+02:00,4.16
2025-11-06T22:11:14+02:00,4.47
2025-11-06T22:11:25+02:00,4.35
